일련번호,CAS No,유해물질의 명칭_국문,유해물질의 명칭_영문,화학식,노출기준_TWA_ppm,노출기준_TWA_㎎/㎥,노출기준_STEL_ppm,노출기준_STEL_㎎/㎥,비 고(CAS번호 등),Cas No. 추출값
1,8006-61-9,가솔린,Gasoline,-,300,-,500,-,"[8006-61-9] 발암성 1B, (가솔린 증기의 직업적 노출에 한정함), 생식세포 변이원성 1B",8006-61-9
2,64-18-6,개미산,Formic acid,HCOOH,5,-,-,-,[64-18-6] ,64-18-6
3,7782-65-2,게르마늄 테트라하이드라이드,Germanium tetrahydride,GeH4,0.2,-,-,-,[7782-65-2] ,7782-65-2
4,8002-74-2,고형 파라핀 흄,Paraffin wax fume,-,-,2,-,-,[8002-74-2] ,8002-74-2
5,-,곡물분진,Grain dust,-,-,4,-,-,-,-
6,-,곡분분진,Flour dust(Inhalable fraction),-,-,0.5,-,-,흡입성,-
7,94-36-0,과산화벤조일,Benzoyl peroxide,(C6H5CO)2O2,-,5,-,-,[94-36-0] ,94-36-0
8,7722-84-1,과산화수소,Hydrogen peroxide,H2O2,1,-,-,-,[7722-84-1] 발암성 2,7722-84-1
9,-,광물털 섬유,Mineral wool fiber,-,-,10,-,-,"발암성 2, (알칼리 산화물 및 알칼리토금속 산화물의 중량비가 18% 이상인 불특정 모양의 인공 유리규산 섬유에 한정함)",-
10,7440-50-8,구리(분진 및 미스트),"Copper(Dust & mist, as Cu)",Cu,-,1,-,2,[7440-50-8] ,7440-50-8
11,-,구리(흄),Copper(Fume),Cu,-,0.1,-,-,,-
12,-,규산칼슘,Calcium silicate,CaSiO3,-,10,-,-,,-
13,-,규조토,Diatomaceous earth,-,-,10,-,-,,-
14,111-30-8,글루타르알데히드,Glutaraldehyde,OCH(CH2)3CHO,,,C0.05,-,[111-30-8] ,111-30-8
15,-,글리세린미스트,Glycerin mist,CH2OHCHOH․CH2OH,-,10,-,-,,-
16,556-52-5,글리시돌,Glycidol,C3H6O2,2,,,,"[556-52-5] 2,3-에폭시-1-프로판올 참조",556-52-5
17,110-80-5,글리콜 모노에틸에테르,Glycol monoethyl ether,C2H5OCH2CH2OH,5,,,,[110-80-5] 2-에톡시에탄올 참조,110-80-5
18,-,금속가공유(혼합용매추출물),Metal Working Fluids(as mixed solvent soluble aerosol),-,-,0.8,-,-,-,-
19,91-20-3,나프탈렌,Naphthalene,C10H8,10,-,15,-,"[91-20-3] 발암성 2, Skin",91-20-3
20,300-76-5,날레드,Naled,C4H7Br2Cl2O4P,,3,,,"[300-76-5] 디메틸-1,2-디브로모-2,2-디클로로에틸 포스페이트 참조",300-76-5
21,7439-92-1,납 및 그 무기화합물,"Lead and Inorganic compounds, as Pb",Pb,-,0.05,-,-,"[7439-92-1] 발암성 1B, 생식독성 1A(납(금속)의 경우 발암성 2)",7439-92-1
22,-,납석,Agalmatolite,Al2O3․4SiO2․H2O,-,,,,,-
23,-,내화성세라믹섬유,Refractory ceramic fibers(Respirable fibers),-,-,0.2개/cm3,-,-,"호흡성, 발암성 1B(알칼리 산화물 및 알칼리토금속 산화물의 중량비가 18% 이하인 불특정 모양의 인공 유리규산 섬유에 한정함)",-
24,111-84-2,노난,Nonane,CH3(CH2)7CH3,200,-,-,-,[111-84-2] ,111-84-2
25,62-75-9,노말-니트로소디메틸아민,n-Nitrosodimethylamine,(CH3)2NNO,-,-,-,-,[62-75-9] 디메틸니트로소아민 참조,62-75-9
26,102-81-8,2-N-디부틸아미노에탄올,2-N-Dibutylaminoethanol,(C4H9)2NCH2CH2OH,2,-,-,-,[102-81-8] Skin,102-81-8
