"candidate_group_id","cas_no","group_row_count","source_sheet","source_row_number","legacy_sort_code","canonical_name_candidate","base_name_candidate","analysis_method","sampling_media","twa","stel","permit_required","special_management","health_exam_target","group_has_semantic_conflict","proposed_relation_type","parent_profile_id_candidate","auto_merge_allowed","review_status","review_note"
"CAS_14807_96_6","14807-96-6","4","Sheet1","11","2D-11-010","소우프스톤","소우프스톤","중량분석법","PVC여과지(37mm, 5um)","6 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","USER_CONFIRMED","사용자 제공 안전보건공단 조회 결과에 따라 일반 소우프스톤(TWA 6 mg/m3)을 독립 profile로 유지"
"CAS_14807_96_6","14807-96-6","4","Sheet1","13","2D-11-030","활석","활석","중량분석법(호)","PVC여과지(37mm, 5um) / Cyclone","2 ㎎/㎥","","","","○","Y","PARENT_CHILD","","N","REVIEW_REQUIRED","활석(석면불포함)과 값·방법이 같아 대표/중복 행 후보. selectable 부모인지 폐기 대상인지 추가 검토"
"CAS_14807_96_6","14807-96-6","4","Sheet1","14","2D-11-031","활석(석면불포함)","활석","중량분석법(호)","PVC여과지(37mm, 5um) / Cyclone","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","USER_CONFIRMED","사용자 제공 안전보건공단 조회 결과: 석면 불포함·결정형 산화규소 1% 미만의 호흡성 활석, TWA 2 mg/m3"
"CAS_14807_96_6","14807-96-6","4","Sheet1","15","2D-11-032","소우프스톤(호흡성)","소우프스톤","중량분석법(호)","PVC여과지(37mm, 5um) / Cyclone","3 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","USER_CONFIRMED","V24 원본명은 소우프스톤이나 사용자 제공 안전보건공단 조회 결과와 호흡성 분석방법에 따라 canonical_name을 소우프스톤(호흡성)으로 보정"
"CAS_1309_37_1","1309-37-1","2","Sheet1","29","3M-20-010","산화철","산화철","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_1309_37_1","1309-37-1","2","Sheet1","30","3M-20-011","산화철(분진, 흄)","산화철","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_50_8","7440-50-8","4","Sheet1","31","3M-20-020","구리","구리","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_50_8","7440-50-8","4","Sheet1","32","3M-20-021","구리 및 그 화합물","구리 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_50_8","7440-50-8","4","Sheet1","33","3M-20-022","구리(분진, 미스트)","구리","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","2 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_50_8","7440-50-8","4","Sheet1","34","3M-20-023","구리(흄)","구리","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_92_1","7439-92-1","2","Sheet1","35","3M-20-030","납","납","ICP법(다)","MCE여과지(37mm, 0.8um)","0.05 ㎎/㎥","","","○","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_92_1","7439-92-1","2","Sheet1","36","3M-20-031","납 및 그 무기화합물","납 및 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.05 ㎎/㎥","","","○","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7758_97_6","7758-97-6","2","Sheet1","37","3M-20-040","크롬산연(as Pb)","크롬산연","ICP법(다)","MCE여과지(37mm, 0.8um)","0.05 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7758_97_6","7758-97-6","2","Sheet1","84","3M-20-220","크롬산연(as Cr)","크롬산연","ICP법(다)","MCE여과지(37mm, 0.8um)","0.012 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_02_0","7440-02-0","5","Sheet1","38","3M-20-050","니켈","니켈","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_02_0","7440-02-0","5","Sheet1","39","3M-20-051","니켈 및 그 무기화합물","니켈 및 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_02_0","7440-02-0","5","Sheet1","40","3M-20-052","니켈(금속)","니켈","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_02_0","7440-02-0","5","Sheet1","41","3M-20-053","니켈(가용성)","니켈","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_02_0","7440-02-0","5","Sheet1","42","3M-20-054","니켈(불용성)","니켈","ICP법(다)","MCE여과지(37mm, 0.8um)","0.2 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_96_5","7439-96-5","2","Sheet1","43","3M-20-060","망간","망간","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_96_5","7439-96-5","2","Sheet1","44","3M-20-061","망간 및 그 무기화합물","망간 및 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_39_3","7440-39-3","2","Sheet1","45","3M-20-070","바륨","바륨","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_39_3","7440-39-3","2","Sheet1","46","3M-20-071","바륨 및 그 가용성 화합물","바륨 및 그 가용성 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_06_4","7440-06-4","4","Sheet1","47","3M-20-080","백금","백금","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_06_4","7440-06-4","4","Sheet1","48","3M-20-081","백금 및 그 가용성 염","백금 및 그 가용성 염","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_06_4","7440-06-4","4","Sheet1","49","3M-20-082","백금(금속)","백금","ICP법(다)","MCE여과지(37mm, 0.8um)","1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_06_4","7440-06-4","4","Sheet1","50","3M-20-083","백금(가용성 염)","백금","ICP법(다)","MCE여과지(37mm, 0.8um)","0.002 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_1314_13_2","1314-13-2","2","Sheet1","52","3M-20-100","산화아연(흄)","산화아연","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","10 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
