"source_workbook","source_sheet","source_column_index","source_column","classification","target_fields","transform","lossless_raw_preservation","review_note"
"msds_index_V24.xlsx","Sheet1","1","정렬코드","정렬","legacy_sort_code; category_order; sort_group; sort_order","PARSE_AND_PRESERVE","Y","패턴 N/L-NN-NNN을 분해하되 원문 보존; profile_id로 사용 금지"
"msds_index_V24.xlsx","Sheet1","2","대분류","측정인자 식별","category_code; category_name","NORMALIZE_WITH_LOOKUP","Y","현재 값은 한글 분류명이며 코드 사전 필요"
"msds_index_V24.xlsx","Sheet1","3","측정대상 물질명","명칭","canonical_name; base_name; form_name","COPY_THEN_REVIEW","Y","괄호만으로 form_code/부모관계 자동 확정 금지"
"msds_index_V24.xlsx","Sheet1","4","CAS No.","CAS","cas_no; cas_group_key","NORMALIZE_FORMAT_ONLY","Y","석영의 '14808-60-7 등' 및 공란 보존·검토"
"msds_index_V24.xlsx","Sheet1","5","적정유속(L/min)","분석·포집 조건","preferred_flow_rate","COPY_TYPED","Y","범위/기호 단위 파서 필요"
"msds_index_V24.xlsx","Sheet1","6","유속(L/min)","분석·포집 조건","flow_rate","COPY_TYPED","Y","원문과 파싱값 병행"
"msds_index_V24.xlsx","Sheet1","7","최소공기량(L)","분석·포집 조건","minimum_air_volume_l","COPY_TYPED","Y","숫자 변환 실패 시 raw 보존"
"msds_index_V24.xlsx","Sheet1","8","최대공기량(L)","분석·포집 조건","maximum_air_volume_l","COPY_TYPED","Y","숫자 변환 실패 시 raw 보존"
"msds_index_V24.xlsx","Sheet1","9","분석방법","분석·포집 조건","analysis_method","COPY","Y","VBA 분석방법 그룹화 키"
"msds_index_V24.xlsx","Sheet1","10","시료수","분석·포집 조건","sample_count","COPY_TYPED","Y","권장 스키마에 추가 필요"
"msds_index_V24.xlsx","Sheet1","11","매체","분석·포집 조건","sampling_media_reference","COPY","Y","실무용 매체와 분리 보존"
"msds_index_V24.xlsx","Sheet1","12","매체(실무용)","분석·포집 조건","sampling_media","COPY","Y","GUI/VBA 출력 사용값"
"msds_index_V24.xlsx","Sheet1","13","탈착용매","분석·포집 조건","desorption_solvent","COPY","Y","권장 스키마에 추가 필요"
"msds_index_V24.xlsx","Sheet1","14","운반방법","분석·포집 조건","transport_method","COPY","Y","표시용"
"msds_index_V24.xlsx","Sheet1","15","보관방법","분석·포집 조건","storage_method","COPY","Y","표시용"
"msds_index_V24.xlsx","Sheet1","16","운반방법(숨김)","참고","transport_method_internal","COPY","Y","표시값과 충돌 시 검토"
"msds_index_V24.xlsx","Sheet1","17","보관방법(숨김)","참고","storage_method_internal","COPY","Y","표시값과 충돌 시 검토"
"msds_index_V24.xlsx","Sheet1","18","Method","분석·포집 조건","method_summary","COPY","Y","표준별 상세 필드와 병행"
"msds_index_V24.xlsx","Sheet1","19","KOSHA","분석·포집 조건","method_kosha","COPY","Y","분석 근거"
"msds_index_V24.xlsx","Sheet1","20","NIOSH","분석·포집 조건","method_niosh","COPY","Y","분석 근거"
"msds_index_V24.xlsx","Sheet1","21","OSHA","분석·포집 조건","method_osha","COPY","Y","분석 근거"
"msds_index_V24.xlsx","Sheet1","22","그 외","분석·포집 조건","method_other","COPY","Y","분석 근거"
"msds_index_V24.xlsx","Sheet1","23","비고","참고","notes","COPY","Y","구조화 가능한 규칙은 후속 분리"
"msds_index_V24.xlsx","Sheet1","24","분석가능여부","분석·포집 조건","analysis_available","NORMALIZE_BOOLEAN_OR_STATUS","Y","빈값 의미 확인 필요"
"msds_index_V24.xlsx","Sheet1","25","분석관련 특이사항","참고","analysis_notes","COPY","Y","원문 보존"
"msds_index_V24.xlsx","Sheet1","26","Unnamed: 25","중복 또는 폐기 후보","source_extra_25_raw","PRESERVE_UNMAPPED","Y","227행 값(0 217건/매체확인 9건/직독식 1건); 의미 확인 전 폐기 금지"
"msds_index_V24.xlsx","Sheet1","27","허가대상","법적 분류","permit_required","NORMALIZE_BOOLEAN","Y","표시와 근거 버전 분리 필요"
"msds_index_V24.xlsx","Sheet1","28","특별관리","법적 분류","special_management","NORMALIZE_BOOLEAN","Y","법령 데이터셋과 충돌 시 검토"
"msds_index_V24.xlsx","Sheet1","29","노출기준(TWA)","노출기준","twa; twa_value; twa_unit; twa_raw","PARSE_AND_PRESERVE","Y","ppm/㎎/㎥ 등 단위 분리"
"msds_index_V24.xlsx","Sheet1","30","노출기준(STEL)","노출기준","stel; stel_value; stel_unit; stel_raw","PARSE_AND_PRESERVE","Y","C/상한값 표현 확장 고려"
"msds_index_V24.xlsx","Sheet1","31","측정","법적 분류","management_target","NORMALIZE_BOOLEAN","Y","작업환경측정 대상"
"msds_index_V24.xlsx","Sheet1","32","특검","법적 분류","health_exam_target","NORMALIZE_BOOLEAN","Y","특수건강진단 대상"
"msds_index_V24.xlsx","Sheet1","33","발암성","법적 분류","carcinogenicity","COPY_CODE","Y","코드 사전 및 출처 버전 필요"
"msds_index_V24.xlsx","Sheet1","34","생식세포","법적 분류","germ_cell_mutagenicity","COPY_CODE","Y","코드 사전 및 출처 버전 필요"
"msds_index_V24.xlsx","Sheet1","35","생식독성","법적 분류","reproductive_toxicity","COPY_CODE","Y","코드 사전 및 출처 버전 필요"
"msds_index_V24.xlsx","Sheet1","36","LOD","분석·포집 조건","limit_of_detection; lod_raw","PARSE_AND_PRESERVE","Y","단위와 방법 연결 필요"
