ID,파일명,PDF 존재 여부,SHA-256 일치 여부,페이지 수,문서 유형,Section 1 페이지,Section 3 시작 페이지,Section 3 종료 페이지,OCR 필요 여부,AI fallback 이력,CAS 수,표 유형,함유량 유형,failure_modes,제품 유형,regression_tier,분류 신뢰도,검토 필요 여부,자동 판정 근거,사용자 수정란,사용자 승인 상태
001,001_(O)002_MSDS(보통휘발유(Regular Unleaded Gasoline)_SOIL)(O).pdf,예,예,21,"digital, local-only",1,3,3,아니오,아니오,5,"table-basic
table-multicolumn
table-classification-column","content-less-than
content-range",,product-other,full,HIGH,아니오,,,
002,002_(O)011_SDS_ICP-08N-1(Cd).pdf,예,예,6,"digital, local-only",,2,3,아니오,아니오,3,table-classification-column,content-single,,product-other,full,HIGH,아니오,,,
003,003_(O)018_[K.S.PEARL] MSDS - Iron Oxide Red 3AS (KR).pdf,예,예,8,"digital, local-only",1,1,1,아니오,아니오,2,"table-basic
table-multicolumn
table-classification-column",content-single,,product-other,full,HIGH,아니오,,,
004,004_(-)SHIKIMIC ACID.PDF,예,예,11,"digital, local-only",,2,4,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-acid,full,HIGH,아니오,,,
005,005_★SUPER WAY LUBE 32.pdf,예,예,6,"scanned, ocr-required",,,,예,아니오,0,,"content-less-than
content-greater-than",section3-not-found,product-other,core,LOW,예,Section 3 제목을 디지털 텍스트에서 확인하지 못함,,
006,006_MSDS(순앤수 우드스테인 BASE)(O).pdf,예,예,12,"digital, local-only",1,1,2,아니오,아니오,5,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
007,007_★MSDS(프로스테인)(O).pdf,예,예,60,"digital, local-only",1,2,3,아니오,아니오,9,"table-basic
table-multicolumn
table-classification-column","content-less-than
content-range",,product-other,core,HIGH,아니오,,,
008,008_★msds_사라퐁.pdf,예,예,7,digital,1,2,4,아니오,아니오,2,"table-multicolumn
table-classification-column","content-range
content-less-than","content-classification-column-confusion
cas-content-pairing
content-wrong",product-cleaner,core,HIGH,아니오,사용자 검토로 확인된 다열 표의 분류 열/함유량 열 결합 회귀 사례,,
009,009_수피아물비누-MSDS(O).pdf,예,예,7,"digital, local-only",1,1,2,아니오,아니오,5,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
010,010_포름알데하이드_시그마.pdf,예,예,14,"digital, local-only",,3,5,아니오,아니오,2,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
011,"011_★GHS MK WD-40 (REV30, 240722)(O).pdf",예,예,15,"digital, local-only",1,2,2,아니오,아니오,4,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,core,HIGH,아니오,,,
012,012_싸이클오일).pdf,예,예,4,"digital, local-only",1,2,2,아니오,아니오,0,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
013,013_블루우드스테인(Blue wood stain) [자단] (DHC-109).pdf,예,예,14,"digital, local-only",1,3,4,아니오,아니오,20,"table-basic
table-multicolumn
table-classification-column","content-less-equal
content-range",,product-paint,full,HIGH,아니오,,,
014,014_세신 카트리지 구리스 MSDS-한글판-CG400.pdf,예,예,14,"digital, local-only",1,3,3,아니오,아니오,5,"table-basic
table-multicolumn
table-classification-column","content-less-equal
content-greater-equal
content-range",,product-other,full,HIGH,아니오,,,
015,015_★1005_TECA-BIOME™_GHS_MSDS개정_(KOR)_ICBIO.pdf,예,예,5,"digital, local-only",1,1,2,아니오,아니오,12,"table-basic
table-multicolumn
table-classification-column",content-single,,product-other,core,HIGH,아니오,,,
016,016_[SFG] SinoWhite NCA(CG) MSDS Kor. (Rev.03) 2025-06-09.pdf,예,예,7,"digital, local-only",1,1,2,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-single,,product-other,full,HIGH,아니오,,,
017,017_[래디안]달팽이점액여과물(HD2)_영문 GHS MSDS(240429)삼정-씨엔티드림_요청 조성비 서류.pdf,예,예,11,"digital, local-only",1,2,4,아니오,아니오,2,"table-basic
table-multicolumn",content-single,,product-other,full,HIGH,아니오,,,
018,"018_3-ETHOXY-1,2-PROPANEDIOL, 98%.PDF",예,예,10,"digital, local-only",,2,4,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
019,019_Bentone Gel ISD V _ MSDS (KO).pdf,예,예,7,"digital, local-only",,,,아니오,아니오,0,,content-range,section3-not-found,product-other,full,LOW,예,Section 3 제목을 디지털 텍스트에서 확인하지 못함,,
020,020_★[SFG] Suncide EPH MSDS Kor. (Rev.04) 2025-05-13.pdf,예,예,7,"digital, local-only",1,2,2,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-single,,product-other,core,HIGH,아니오,,,
021,021_RED(적색)227_MSDS(E)_190730.pdf,예,예,5,"digital, local-only",1,2,3,아니오,아니오,1,"table-multicolumn
table-classification-column",content-greater-than,,product-other,full,HIGH,아니오,,,
022,022_SKIN CARE G28345_MSDS_국문.pdf,예,예,8,"digital, local-only",1,1,2,아니오,아니오,9,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
023,023_GHS MSDS 38571 국문.pdf,예,예,9,"digital, local-only",1,2,2,아니오,아니오,13,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
024,024_★Sodium Hydroxide(NaOH).pdf,예,예,9,"digital, local-only",1,2,2,아니오,아니오,2,,content-range,,product-alkali,core,HIGH,아니오,,,
025,025_AMMONIUM ACETATE.PDF,예,예,11,"digital, local-only",,2,4,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-missing,,product-other,full,HIGH,아니오,,,
026,026_Acetonitrile.pdf,예,예,14,"digital, local-only",,3,5,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-solvent,full,HIGH,아니오,,,
027,027_D-GLUCONIC ACID LACTONE.PDF,아니오,확인 불가,0,,,,,아니오,아니오,0,,,,,full,LOW,예,PDF 누락,,
028,028_D-Sorbitol.PDF,예,예,9,"digital, local-only",,2,4,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-missing,,product-other,full,HIGH,아니오,,,
029,029_Formic Acid.pdf,예,예,11,"digital, local-only",1,3,3,아니오,아니오,1,"table-basic
table-multicolumn",content-range,,product-acid,full,HIGH,아니오,,,
030,"030_★HYDROCHLORIC ACID, 37%, A.C.S. REAGENT.PDF",예,예,13,"digital, local-only",,3,5,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-acid,core,HIGH,아니오,,,
031,031_Methanol.pdf,예,예,15,"digital, local-only",,3,5,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-solvent,full,HIGH,아니오,,,
032,"032_★NITRIC ACID, ACS REAGENT, 70%.PDF",예,예,12,"digital, local-only",,3,5,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-acid,core,HIGH,아니오,,,
033,033_Water.pdf,예,예,9,"digital, local-only",,2,4,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-missing,,product-other,full,HIGH,아니오,,,
034,034_용접봉CR-13 CSW-0001_MSDS_용접재료(연강용 피복아크 용접봉)_(국문)v5_2023.08.22 (2).pdf,예,예,24,"digital, local-only",1,2,5,아니오,아니오,11,"table-basic
table-multicolumn
table-classification-column","content-range
content-balance",,product-other,full,HIGH,아니오,,,
035,035_용접봉_코리아나_논가스와이어_(K-308)MSDS.pdf,예,예,23,"digital, local-only",1,2,3,아니오,아니오,7,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,full,HIGH,아니오,,,
036,036_★아이생각수성내부프로 (M-BASE)_GHS국문.pdf,예,예,10,"digital, local-only",1,1,2,아니오,아니오,9,"table-basic
table-multicolumn
table-classification-column","content-less-than
content-range",,product-other,core,HIGH,아니오,,,
037,"037_Sodium Cacodylate Buffer, 0.2M, pH 7.4.pdf",예,예,7,"scanned, ocr-required",,,,예,아니오,0,,content-range,section3-not-found,product-other,full,LOW,예,Section 3 제목을 디지털 텍스트에서 확인하지 못함,,
038,038_GHSMSDS-녹수클린업 (2).pdf,예,예,6,"digital, local-only",1,,,아니오,아니오,0,,content-single,section3-not-found,product-other,full,LOW,예,Section 3 제목을 디지털 텍스트에서 확인하지 못함,,
039,039_노면표지용_도료_KSM-6080_1종_DHW-8800_GHS-MSDS.pdf,예,예,16,"digital, local-only",1,2,2,아니오,아니오,11,"table-basic
table-multicolumn
table-classification-column",content-range,,product-paint,full,HIGH,아니오,,,
040,040_★Giemsa SDS.pdf,예,예,16,"digital, local-only",1,2,3,아니오,아니오,4,"table-multicolumn
table-classification-column","content-less-than
content-range",,product-other,core,HIGH,아니오,,,
041,041_★페놀(PHENOL).pdf,예,예,9,"digital, local-only",1,2,2,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-single,,product-other,core,HIGH,아니오,,,
042,042_Chromium Standard.pdf,예,예,7,"digital, local-only",,1,1,아니오,아니오,1,table-multicolumn,content-single,,product-standard-solution,full,HIGH,아니오,,,
043,043_★클리신 56-40-6.pdf,예,예,8,"digital, local-only",1,1,3,아니오,아니오,1,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,core,HIGH,아니오,,,
044,044_염화수소 7647-01-0.pdf,예,예,6,"digital, local-only",,2,2,아니오,아니오,2,"table-basic
table-multicolumn","content-range
content-balance",,product-acid,full,HIGH,아니오,,,
045,045_ CS006A_MSDS.pdf,예,예,7,"mixed, ocr-required",1,1,1,예,아니오,1,"table-basic
table-multicolumn
table-classification-column
table-image",content-greater-equal,,product-other,full,LOW,예,,,
046,046_★THF_MSDS.pdf,예,예,9,"scanned, ocr-required",,,,예,아니오,0,,content-range,section3-not-found,product-other,core,LOW,예,Section 3 제목을 디지털 텍스트에서 확인하지 못함,,
047,047_★GL-2002.pdf,예,예,16,"digital, local-only",1,3,3,아니오,아니오,5,"table-basic
table-multicolumn
table-classification-column",content-range,,product-other,core,HIGH,아니오,,,
048,048_질산 60 7697-37-2.pdf,예,예,12,"digital, local-only",1,2,3,아니오,아니오,2,"table-basic
table-multicolumn
table-classification-column",content-range,,product-acid,full,HIGH,아니오,,,
