순번	코드	물질명	물질요약	영문명	상용명	CAS번호	공단코드	주기	노출기준(TWA)	노출기준(STEL)	분석분류	단축코드	회수율	PAS회수율	FACTOR값	측정방법	측정단위	분류	측정	혼합	특검	사용	특별관리	허가대상	허용기준	안전검사	발암성	생식세포	생식독성	LOD	LOQ	단위	분자량	함유량	비중	계산상수	적용값1	적용값3	기울기	Y절편	채취Media	운반방법	시료보관방법	적정유량	적정총유량	유량평균자릿수	분석파일명	분석장비 물질명	분석정열	분석방법	지침번호1	지침번호2	위험문구	유해.위험문구
1	01	소음		noise	소음		31001	24	90 dB(A)			1				21	dB(A)	소음 및 고열	○	 	○	○																																
2	02	진동		vibration	진동		33007	12											 	 	○	○																																
3	03	고압환경		hyperbaric condition	고압환경		35001	12											 	 	○	○																																
4	05	저온환경		hypothermal condition	저온환경			12											 	 	 	○																																
5	08	기타분진(유리규산 1%이하) 		"dust, class III"	3종 분진		41012	24	10 ㎎/㎥		"GR(분진,금속가공유)"	403				01	㎎/㎥	분진	○	 	 	○				 															PVC 여과지		DC	1										
6	09	전리방사선		ionizing radiation	전리방사선		34008	12											 	 	○	○																																
7	10	비전리방사선		nonionizing radiation	비전리방사선			12											 	 	○	○																																
8	G0001	금속류			금속류			12			"ICP(금속,알칼리)"	1000				128	㎎/㎥	금속류	○	○	 	○																			MCE 여과지		DC	2										
9	G0003	"산류(질산,염화수소,불화수소)"		"질산,염화수소,불화수소"	"산류(질산,염화수소,불화수소)"			12			의뢰물질	300				18	ppm	산 및 알카리류	○	○	 	○																			실리카겔		냉장	0.2										
10	G0004	혼합유기화합물(Em)		유기용제다성분	유기화합물		98001	12			GC(유기용제)	100				14	ppm	유기화합물	○	○	 	○																			활성탄		냉장	0.02										
11	G0005	"산류(황산,인산)"		"황산,인산"	"산류(황산,인산)"			12			의뢰물질	300				111	㎎/㎥	산 및 알카리류	○	○	 	○	 	 	 	 				0.0379	0.1251	㎍/㎖									Quartz 여과지		냉장	1										
12	G0006	금속류(호흡성)			금속류(호흡성)			12			"ICP(금속,알칼리)"	1000				128	㎎/㎥	금속류	○	○	 	○	 	 	 	 															MCE 여과지		DC	2.5										
13	G0007	"알칼리(NaOH,KOH)"			"알칼리(NaOH,KOH)"	"NaOH,KOH"		12			"ICP(금속,알칼리)"	1000				128	㎎/㎥	산 및 알카리류	○	○	 	○	 	 	 	 															MCE 여과지		DC	2.5										
14	G0008	혼합유기화합물(C)			혼합유기화합물(C)	셀로솔브	98001	12			GC(유기용제)	100				14	ppm	유기화합물	○	○	 	○	 	 	 	 															활성탄		냉장	0.015										
15	G0009	혼합유기화합물(D)			혼합유기화합물(D)	"DMF,DMAC"	98001	12			GC(유기용제)	100				14	ppm	유기화합물	○	○	 	○	 	 	 	 															실리카겔		냉장	0.1										
16	G0010	혼합유기화합물(B)			혼합유기화합물(B)	부탄올	98001	12			GC(유기용제)	100				14	ppm	유기화합물	○	○	 	○	 	 	 	 															활성탄		냉장	0.015										
17	G0011	혼합유기화합물(I)			혼합유기화합물(I)	이소시아네이트	98001	12			의뢰물질	100				109	ppm	유기화합물	○	○	 	○	 	 	 	 															1-(2-pyridyl)piperazine coated 유리섬유 여과지		냉장	1										
18	G0013	혼합유기화합물(BP)			혼합유기화합물(C)	브로모프로판	98001	12			GC(유기용제)	100				14	ppm	유기화합물	○	○	 	○	 	 	 	 															활성탄		냉장	0.02										
19	G0014	혼합유기화합물(A)			혼합유기화합물(A)	에탄올아민	98001	12			의뢰물질	100				12	ppm	유기화합물	○	○	 	○	 	 	 	 															10% NITC coated XAD-2		냉장	0.1										
20	G0015	시안화			금속류	"NaCN,KCN,CaCN"		12			의뢰물질	1000				116	㎎/㎥	산 및 알카리류	○	○	 	○	 	 	 	 															MCE 여과지		DC	0.2										
21	G0016	규산			유리규산	"석영,크리스토발라"		24			의뢰물질	1000				20	㎎/㎥	분진	○	○	 	○	 	 	 	 															PVC 여과지		DC	2.5										
22	G0017	금속류(현대삼호)			금속류			12			"ICP(금속,알칼리)"	1000				128	㎎/㎥	금속류	○	○	 	○	 	 	 	 															MCE 여과지		DC	2										
23	G0018	혼합유기화합물(P)			혼합유기화합물(P)	"페놀,크레졸"	98001	12			의뢰물질	100				14	ppm	유기화합물	○	○	 	○	 	 	 	 															10% NITC coated XAD-2		냉장	0.02										
24	G0019	금속류(IC)			"Cr6+, 크롬산연(as Cr)"	"Cr6+,크롬산연(as Cr)"		12			의뢰물질	1000				111	㎎/㎥	금속류	○	○	 	○	 	 	 	 															PVC 여과지		냉장	1										
25	G0020	금속류(외부의뢰)			금속류			12			의뢰물질	1000				128	㎎/㎥	금속류	○	○	 	○	 	 	 	 															MCE 여과지		DC	2										
26	N0001	가솔린		gasoline	가솔린	8006-61-9	21227	12	300 ppm	500 ppm		ok						유기화합물	 	 	○	○					1B	1B																					0				"H350,H340,H304"	"H225,H304,H316,H331,H335,H350,H402"
27	N0002	글루타르알데히드		glutaraldehyde	글루타르알데히드	111-30-8	21001	12		C0.05 ppm	의뢰물질		1		1	13	ppm	유기화합물	○	 	○	○								0.01439	0.04749	㎍/Sample									"2,4-DNPH coated 실리카겔"		냉장	0.1							A-54-2018	A-55-2018	"H331,H301,H314,H334,H317,H400"	"H301,H314,H317,H318,H330,H334,H335,H401"
28	N0003	β-나프틸아민		β-naphthylamine	β-나프틸아민	91-59-8	11013	12									ppm	유기화합물	 	 	○	○		 			1A																											
29	N0004	니트로글리세린		nitroglycerin	니트로글리세린	55-63-0	21003	12	0.05 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○																			Tenax-GC		냉장	0.2							A-67-2018		"H200,H310,H330,H300,H373**,H411"	"H201,H302,H373,H401,H411"
30	N0005	니트로메탄		nitromethane	니트로메탄	75-52-5	21005	12	20 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														Chromosorb 106		냉장	0.015							A-86-2018		"H226,H302"	"H226,H302,H319,H351,H412"
31	N0006	니트로벤젠		nitrobenzene	니트로벤젠	98-95-3	21007	12	1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2		1B												실리카겔		냉장	0.1							A-93-2018		"H351,H360F,H331,H311,H301,H372(blood),H412"	"H227,H302,H311,H316,H331,H351,H361,H372,H402"
32	N0007	p-니트로아닐린		p-nitroaniline	p-니트로아닐린(p-아미노니트로벤젠)	100-01-6	21009	12	3 ㎎/㎥		의뢰물질					110	㎎/㎥	유기화합물	○	 	○	○								1.2850	4.2785	㎍/Sample									MCE 여과지		DC	1							A-168-2018		"H331,H311,H301,H373**,H412"	"H301,H311,H319,H373,H402"
33	N0008	p-니트로클로로벤젠		p-nitrochlorobenzene	p-니트로클로로벤젠	100-00-5	21011	12	0.1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2	2													실리카겔		냉장	0.1							A-80-2018		"H351,H341,H331,H311,H301,H373**,H411"	"H302,H312,H341,H351,H361,H373,H401,H411"
